x/x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
99,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8461538461538461,0.7692307692307693,0.7857142857142857,0.8,0.8,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8571428571428571,0.6428571428571429,0.9230769230769231,0.8,0.8,0.8461538461538461,0.7333333333333333,0.8,0.8,0.8,0.8,0.8,0.8,0.7333333333333333,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8571428571428571,0.7142857142857143,0.8,0.7857142857142857,0.8,0.8,0.6153846153846154,0.6153846153846154,0.75,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.8,0.8,0.8,0.8,0.8,0.8,0.8333333333333334,0.8333333333333334,0.9230769230769231,0.8571428571428571,0.8,0.9230769230769231,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.8571428571428571,0.8,0.8,0.8,0.8461538461538461,0.7692307692307693,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.8,0.75,0.8571428571428571,0.7333333333333333,0.8,0.8,0.8,0.8,0.8,0.6923076923076923,0.7333333333333333,0.7142857142857143,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8333333333333334,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7692307692307693,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7333333333333333,0.8,0.8571428571428571,0.9166666666666666,0.7333333333333333,0.8461538461538461,0.8,0.8571428571428571,0.9166666666666666,0.5833333333333334,0.8,0.75,0.8,0.8,0.8,0.8461538461538461,0.8
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
101,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.6666666666666666,0.5714285714285714,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6428571428571429,0.6666666666666666,0.6923076923076923,0.6,0.6,0.75,0.6428571428571429,0.6,0.6,0.6,0.6,0.6,0.6,0.6428571428571429,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6428571428571429,0.75,0.6,0.6923076923076923,0.6,0.6,0.6363636363636364,0.6363636363636364,1.0,0.8888888888888888,0.6,0.6923076923076923,0.8888888888888888,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.9,0.6923076923076923,0.6428571428571429,0.6,0.6923076923076923,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.6428571428571429,0.6,0.6,0.6,0.75,0.8181818181818182,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.6,1.0,0.6428571428571429,0.5333333333333333,0.6,0.6,0.6,0.6,0.6,0.7272727272727273,0.5333333333333333,0.75,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6666666666666666,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6428571428571429,0.6,0.6428571428571429,0.8181818181818182,0.6428571428571429,0.75,0.6,0.6428571428571429,0.8181818181818182,0.7777777777777778,0.6,0.8,0.6,0.6,0.6,0.75,0.6
102,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8571428571428571,0.7857142857142857,0.9285714285714286,0.9333333333333333,0.9333333333333333,0.6428571428571429,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.7857142857142857,0.8,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.7333333333333333,0.9333333333333333,0.8,0.9333333333333333,0.9333333333333333,0.5333333333333333,0.5333333333333333,0.6428571428571429,0.5714285714285714,0.9333333333333333,0.8,0.5714285714285714,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7142857142857143,0.7142857142857143,0.9285714285714286,0.8666666666666667,0.9333333333333333,0.9285714285714286,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8571428571428571,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8571428571428571,0.7857142857142857,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8571428571428571,0.9333333333333333,0.6428571428571429,1.0,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.6,0.8666666666666667,0.8571428571428571,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7142857142857143,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7857142857142857,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,0.7857142857142857,0.8666666666666667,0.8571428571428571,0.9333333333333333,0.8666666666666667,0.7857142857142857,0.5,0.9333333333333333,0.6428571428571429,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8571428571428571,0.9333333333333333
103,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.7857142857142857,0.9285714285714286,0.9333333333333333,0.9333333333333333,0.5333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.6666666666666666,0.8,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.9333333333333333,0.8,0.9333333333333333,0.9333333333333333,0.6428571428571429,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.9333333333333333,0.8,0.5714285714285714,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.6,0.6,0.8,0.8666666666666667,0.9333333333333333,0.8,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.6666666666666666,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.5333333333333333,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7142857142857143,1.0,0.7333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.6,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7857142857142857,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.6666666666666666,0.8666666666666667,0.7333333333333333,0.9333333333333333,0.8666666666666667,0.6666666666666666,0.5,0.9333333333333333,0.6428571428571429,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.9333333333333333
104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333,0.8666666666666667,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.8666666666666667,1.0,1.0,0.6,0.6,0.6,0.5333333333333333,1.0,0.8666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333333,1.0,1.0,1.0,0.8,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9333333333333333,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.7333333333333333,0.9333333333333333,0.8,1.0,0.9333333333333333,0.7333333333333333,0.4666666666666667,1.0,0.6,1.0,1.0,1.0,0.8,1.0
